"id","tuber_shape"
"W15268-1R",-0.38
"W15268-4R",-2.31
"W15268-5R",-1.91
"W15268-6R",-0.69
"W15268-7R",-1.61
"W15268-8R",-2.14
"W15268-9R",-1.71
"W15268-12R",-1.37
"W15268-13R",-2.32
"W15268-16R",-1.83
"W15268-17R",-1.43
"W15268-18R",-1.4
"W15268-19R",-1.44
"W15268-20R",-2.07
"W15268-21R",-1.89
"W15268-22R",-0.31
"W15268-23R",-1.25
"W15268-24R",-2.02
"W15268-25R",-1.88
"W15268-26R",-1.16
"W15268-27R",-1.98
"W15268-28R",-1.35
"W15268-29R",-0.56
"W15268-30R",-2.66
"W15268-31R",-1.64
"W15268-32R",-1.56
"W15268-33R",-1.8
"W15268-34R",-1.92
"W15268-36R",-1.62
"W15268-41R",-1.45
"W15268-42R",-1.45
"W15268-47R",-1.65
"W15268-48R",-2.07
"W15268-49R",-1.04
"W15268-51R",-1.35
"W15268-52R",-1.8
"W15268-53R",-2.51
"W15268-56R",-1.94
"W15268-57R",-1.43
"W15268-61R",-2.51
"W15268-63R",-1.73
"W15268-65R",-1.08
"W15268-68R",-1.96
"W15268-73R",-1.22
"W15268-74R",-2.37
"W15268-76R",-2.2
"W15268-78R",-2.19
"W15268-79R",-1.72
"W15268-80R",-2.32
"W15268-82R",-1.21
"W15268-83R",-1.08
"W15268-85R",-0.86
"W15268-87R",-0.29
"W15268-88R",-1.67
"W15268-89R",-1.8
"W15268-90R",-1.37
"W15268-91R",-1.01
"W15268-92R",-1.27
"W15268-93R",-1.85
"W15268-95R",-1.72
"W15268-96R",-1.83
"W15268-97R",-1.1
"W15268-99R",-0.34
"W15268-101R",-1.17
"W15268-102R",-0.23
"W15268-103R",-2.19
"W15268-104R",-1.67
"W15268-106R",-1.13
"W15268-107R",-1.72
"W15268-108R",-1.2
"W15268-109R",-1.42
"W15268-110R",-2.13
"W15268-111R",-1.28
"W15268-112R",-2.19
"W15268-114R",-1.67
"W15268-115R",-2.23
"W15268-116R",-1.55
"W15268-117R",-1.78
"W15268-118R",-1.55
"W15268-119R",-1.82
"W15268-121R",-1.99
"W15268-122R",-1.5
"W15268-123R",-0.96
"W15268-124R",-1.37
"W15268-125R",-0.86
"W15268-127R",-0.21
"W15268-129R",-1.32
"W15268-130R",-2.38
"W15268-134R",-2.11
"W15268-136R",-1.37
"W15268-137R",-1.53
"W15268-138R",-2.14
"W15268-139R",-1.57
"W15268-141R",-1.16
"W15268-142R",-1.3
"W15268-146R",-3.08
"W15268-147R",-2.3
"W15268-148R",-1.37
"W15268-151R",-0.54
"W15268-153R",-2.29
"W15268-156R",-1.97
"W15268-158R",-0.02
"W15268-159R",-0.71
"W15268-161R",-2
"W15268-162R",-2.27
"W15268-164R",-0.93
"W15268-166R",-1.64
"W15268-171R",-1.74
"W15268-174R",-0.43
"W15268-175R",-0.7
"W15268-176R",-1.47
"W15268-179R",-2.74
"W15268-180R",-1.88
"W15268-181R",-1.05
"W15268-182R",-0.99
"W15268-183R",-2.33
"W15268-184R",-1.48
"W15268-185R",-1.56
"W15268-186R",-2.66
"W15268-187R",-0.9
"W15268-188R",-1.78
"W15268-189R",-0.93
"W15268-190R",-1.53
"W15268-192R",-0.86
"W15268-195R",-1.77
"W15268-196R",-2.54
"W15268-197R",-1.22
"W15268-198R",-1.35
"W15268-200R",-0.52
"W15268-201R",-1.76
"W15268-203R",-1.91
"W15268-204R",-0.57
"W15268-205R",-1.48
"W15268-207R",-1.09
"W15268-208R",-0.77
"W15268-209R",-1.28
"W15268-210R",-0.89
"W15268-212R",-2.19
"W15268-213R",-1.15
"W15268-214R",-2.1
"W15268-216R",-2.13
"W15268-218R",-2.27
"W15268-220R",-0.58
"W15268-221R",-1.38
"W15268-224R",-2.67
"W15268-225R",-1.05
"W15268-226R",-2.46
"W15268-228R",-1.86
"W15268-229R",-1.69
"W15268-232R",-1.72
"W15268-233R",-0.88
"W15268-235R",-2.01
"W15268-237R",-1.77
"W15268-238R",-1.57
"W15267-81R",-0.92
"W15267-75R",-2.21
"W15267-204R",-1.74
"W15267-212R",-1.73
"W15267-209R",-2.51
"W15267-111R",-1.36
"W15267-110R",-1.95
"W15267-24R",-1.8
"W15267-22R",-1.71
"W15267-21R",-1.74
"W15267-30R",-1.02
"W15267-20R",-2.29
"W15267-19R",-0.98
"W15267-105R",-1.55
"W15267-104R",-2.33
"W15267-17R",-2.42
"W15267-34R",-2.13
"W15267-102R",-1.3
"W15267-35R",-0.63
"W15267-16R",-2.2
"W15267-15R",-0.67
"W15267-101R",-1.62
"W15267-100R",-1.98
"W15267-37R",-1.02
"W15267-13R",-2.17
"W15267-99R",-2.71
"W15267-98R",-1.4
"W15267-12R",-2.14
"W15267-11R",-1.81
"W15267-40R",-0.6
"W15267-97R",-2.82
"W15267-41R",-0.78
"W15267-10R",-2.51
"W15267-95R",-2.07
"W15267-43R",-0.96
"W15267-92R",-2.51
"W15267-45R",-0.76
"W15267-6R",-2.83
"W15267-46R",-0.71
"W15267-90R",-0.9
"W15267-3R",-1.33
"W15267-48R",-2.19
"W15267-89R",-1.95
"W15267-88R",-0.88
"W15267-2R",-2.11
"W15267-50R",-1.17
"W15267-87R",-0.6
"W15267-86R",-2.16
"W15267-51R",-1.94
"W15267-85R",-1.15
"W15267-84R",-0.34
"W15267-53R",-2.02
"W15267-54R",-2.06
"W15267-55R",-2
"W15267-56R",-0.78
"W15267-57R",-0.77
"W15267-79R",-1.51
"W15267-59R",-0.46
"W15267-60R",-0.96
"W15267-77R",-2.28
"W15267-61R",-1.84
"W15267-74R",-2.1
"W15267-73R",-2.19
"W15267-72R",-2.43
"W15267-62R",-0.99
"W15267-71R",-0.55
"W15267-70R",-0.56
"W15267-63R",-2.17
"W15267-65R",-2.45
"W15267-66R",-1.99
"W15267-67R",-2.21
"W15267-201R",-1.24
"W15267-202R",-1.46
"W15267-200R",-2.37
"W15267-113R",-1.29
"W15267-114R",-2.1
"W15267-199R",-0.99
"W15267-205R",-1.71
"W15267-115R",-2.36
"W15267-116R",-1.02
"W15267-197R",-1.86
"W15267-196R",-0.73
"W15267-117R",-2.44
"W15267-195R",-1.9
"W15267-193R",-1.73
"W15267-210R",-0.83
"W15267-192R",-1.26
"W15267-121R",-0.86
"W15267-122R",-0.71
"W15267-213R",-1.17
"W15267-190R",-2.44
"W15267-189R",-2.31
"W15267-214R",-1.42
"W15267-126R",-1.99
"W15267-187R",-2.11
"W15267-216R",-0.58
"W15267-217R",-1.76
"W15267-186R",-2.19
"W15267-127R",-1.88
"W15267-218R",-1.24
"W15267-180R",-2.17
"W15267-129R",-0.27
"W15267-220R",-1.13
"W15267-182R",-1.69
"W15267-131R",-1.8
"W15267-132R",-2.12
"W15267-222R",-1.21
"W15267-133R",-1.51
"W15267-224R",-1.39
"W15267-136R",-2.41
"W15267-177R",-1.06
"W15267-226R",-2.6
"W15267-227R",-1.66
"W15267-176R",-2.24
"W15267-137R",-0.66
"W15267-174R",-1.69
"W15267-139R",-1.5
"W15267-140R",-2.12
"W15267-173R",-0.86
"W15267-172R",-0.67
"W15267-142R",-0.96
"W15267-171R",-1.74
"W15267-170R",-1.37
"W15267-143R",-1.7
"W15267-145R",-0.8
"W15267-146R",-1.33
"W15267-147R",-1.88
"W15267-148R",-0.92
"W15267-165R",-1.65
"W15267-164R",-0.96
"W15267-149R",-1.34
"W15267-150R",-1.67
"W15267-163R",-1.78
"W15267-162R",-0.8
"W15267-161R",-2.68
"W15267-160R",-2.23
"W15267-153R",-1.18
"W15267-154R",-1.43
"W15267-159R",-1.43
"W15267-155R",-0.84
"W15267-157R",-2.55
